iter	likelihood	#indels	#substs	P1/#indels	P1/#substs	P1/likelihood	P1/prior_A	P1/|A|	P1/|indels|	f:pi[A]	f:pi[C]	f:pi[D]	f:pi[E]	f:pi[F]	f:pi[G]	f:pi[H]	f:pi[I]	f:pi[K]	f:pi[L]	f:pi[M]	f:pi[N]	f:pi[P]	f:pi[Q]	f:pi[R]	f:pi[S]	f:pi[T]	f:pi[V]	f:pi[W]	f:pi[Y]	sigma	prior_A	scale	scale*|T|	scale1	scale1*|T|	|A|	|T|	|indels|	posterior	prior
10	-4.213842441776263E3	96	383	96	383	-4.213842441776263E3	-6.867069499746198E2	643	133	4.876350856138465E-2	3.909630357059636E-3	5.01451802307028E-2	1.1987995367025233E-2	3.94872729123229E-2	6.340040029180682E-2	1.5711082095254215E-2	2.0763847575473234E-2	5.386118447195691E-2	1.1137557219603904E-1	1.3475468664781163E-2	6.923444956172184E-2	8.035476976754474E-2	2.070658398552062E-2	8.366261317547355E-2	1.390682025213698E-1	5.520678716485927E-2	5.499385097498545E-2	6.355687250754666E-3	5.7535912873963216E-2	6.822504502065035E-1	-6.867069499746198E2	6.04117283537296E-1	7.431908937107058E-1	6.04117283537296E-1	7.431908937107058E-1	643	1.2302096198259553E0	133	-4.953296186089071E3	-7.394537443128083E2
11	-4.186100262628366E3	92	385	92	385	-4.186100262628366E3	-6.710020753567078E2	638	123	4.1124249328963906E-2	3.29715023244097E-3	4.2289469221791734E-2	1.505798829852284E-1	3.3301222665777334E-2	5.1382696442338185E-2	1.3249794290329232E-2	1.751099684813404E-2	4.5423326678591634E-2	9.39275481865752E-2	2.9639273646304014E-2	5.8388226153696134E-2	6.776644429783352E-2	1.7462704134583326E-2	7.055608312945272E-2	1.1728186922851035E-1	4.6558128137165575E-2	4.637855039098049E-2	5.360009459285106E-3	4.8522374542018E-2	8.950120472336675E-1	-6.710020753567078E2	5.049559270881167E-1	7.336666765845546E-1	5.049559270881167E-1	7.336666765845546E-1	638	1.4529321020456645E0	123	-4.918919715604421E3	-7.328194529760552E2
12	-4.177233257495574E3	90	387	90	387	-4.177233257495574E3	-6.597110409556922E2	636	121	3.8285778554967335E-2	6.243310380243699E-3	3.937057284331509E-2	1.401865845304317E-1	3.1002711475480976E-2	4.783616891853988E-2	1.2335269296724597E-2	8.332423356884247E-2	4.228812573659965E-2	8.744449731631959E-2	2.7593516863376733E-2	5.435816417841183E-2	6.308908058334033E-2	1.6257396411530168E-2	6.568617344943402E-2	1.0918686047924787E-1	4.334460112656418E-2	4.31774181642967E-2	4.990051820014339E-3	4.3999484302318724E-2	9.888907990856584E-1	-6.597110409556922E2	4.784063113336523E-1	6.30836879664122E-1	4.784063113336523E-1	6.30836879664122E-1	636	1.3186215664787937E0	121	-4.899014237815847E3	-7.217809803202724E2
13	-4.155538428893549E3	91	385	91	385	-4.155538428893549E3	-6.619887672293686E2	638	123	1.1991066743955414E-1	5.580767358631507E-3	3.519254921393489E-2	1.2530991852353365E-1	2.7712689213551665E-2	4.275977226878634E-2	3.145891945670866E-2	7.448182687752784E-2	3.780049002774524E-2	7.8164846306393E-2	2.4665279930383664E-2	4.8589650337097605E-2	5.6394037804001554E-2	1.4532153890170535E-2	5.871552595879431E-2	9.759989970741356E-2	3.874485175452542E-2	3.8595410326514076E-2	4.460505183778601E-3	3.933023842095369E-2	9.288810860332831E-1	-6.619887672293686E2	1.0693037741221956E0	7.256249649347111E-1	1.0693037741221956E0	7.256249649347111E-1	638	6.78595720407314E-1	123	-4.878191192366433E3	-7.226527634728839E2
14	-4.142029905692063E3	92	385	92	385	-4.142029905692063E3	-6.678317992456856E2	640	127	4.384099731469144E-2	6.393058638890526E-3	4.0314891540631614E-2	6.54824913163109E-2	3.662512132920805E-2	4.898353827223317E-2	3.603782488653855E-2	8.532279813156224E-2	4.3302423089256116E-2	1.1070061161521474E-1	2.825535823415145E-2	5.566196615736098E-2	6.460229703128116E-2	1.6647336468084393E-2	6.726168219273666E-2	1.1180575033544034E-1	4.4384238457583894E-2	4.4213045546114764E-2	5.1097401784482195E-3	4.505482926426076E-2	9.832141033821367E-1	-6.678317992456856E2	5.704734722995113E-1	6.537201272599649E-1	5.704734722995113E-1	6.537201272599649E-1	640	1.1459255495700722E0	127	-4.869122597649077E3	-7.270926919570136E2
15	-4.1546142416504135E3	91	390	91	390	-4.1546142416504135E3	-6.622286837834662E2	638	123	4.398565915539877E-2	6.414153771006552E-3	4.0447918314094854E-2	6.56985634476067E-2	3.67459729929962E-2	4.9145168920367265E-2	3.615673865224862E-2	8.560433718833628E-2	4.344530780025424E-2	1.1106588967056404E-1	2.504889904787237E-2	5.584563356857231E-2	6.481546479148023E-2	1.6702267571021237E-2	6.748362510806838E-2	1.1217467500950948E-1	4.453069282739622E-2	4.4358935031841275E-2	5.126600753367275E-3	4.520349637799766E-2	8.392670247008805E-1	-6.622286837834662E2	1.5983862532571431E0	8.069383083722333E-1	1.5983862532571431E0	8.069383083722333E-1	638	5.048456258478693E-1	123	-4.865809373205712E3	-7.111951315552985E2
16	-4.0945561119786526E3	96	380	96	380	-4.0945561119786526E3	-6.899582529505612E2	644	135	8.400028134673346E-2	6.478421873128435E-3	4.08531956176385E-2	6.635684544951281E-2	3.6798492543007946E-2	5.607990227420185E-2	3.6519019485396195E-2	8.646206970940004E-2	6.395272673284172E-2	1.1217874012511206E-1	2.4670990639902496E-2	3.819445463073872E-2	6.546489838147701E-2	1.686961981673345E-2	6.815979294950751E-2	5.634587909339169E-2	4.497687843758938E-2	4.480339967494524E-2	5.177967919250457E-3	4.5656423299491065E-2	8.135239254361989E-1	-6.899582529505612E2	1.2334923954683714E0	6.957822961228258E-1	1.2334923954683714E0	6.957822961228258E-1	644	5.640750593023552E-1	135	-4.832766631633738E3	-7.38210519655086E2
17	-4.0813357418466717E3	94	384	94	384	-4.0813357418466717E3	-6.789385170814603E2	640	128	8.851817455092988E-2	6.82685901744834E-3	4.305045462548363E-2	6.992579946135463E-2	3.844256827951746E-2	5.29162868040845E-2	3.848316802527968E-2	4.543797801809493E-2	6.739237699191043E-2	1.1821219096052725E-1	2.322121548386813E-2	4.024871521472322E-2	6.898587967784009E-2	1.7776939881684176E-2	3.728594326769472E-2	5.937640066021507E-2	4.739592668577784E-2	8.293464092007166E-2	5.456461106402603E-3	4.8112020367091925E-2	7.95857692427013E-1	-6.789385170814603E2	1.0638592957225361E0	7.425435973044002E-1	1.0638592957225361E0	7.425435973044002E-1	640	6.979716211438379E-1	128	-4.810480258690334E3	-7.291445168436626E2
18	-4.0813924342412156E3	99	380	99	380	-4.0813924342412156E3	-7.055488921626494E2	644	136	8.838530788088814E-2	6.816611833419812E-3	4.298583546022306E-2	6.865129010571674E-2	3.8384865597993985E-2	5.2836858925523957E-2	3.904229288856468E-2	4.6231878829184544E-2	6.729122035642242E-2	1.1803475327328455E-1	2.318636020594E-2	4.018830148848939E-2	6.8882331178798E-2	1.7750256516176535E-2	3.7229976691943736E-2	5.928727608580072E-2	4.732478492326151E-2	8.281015519015168E-2	6.639838827457025E-3	4.803980374075969E-2	8.494553397906897E-1	-7.055488921626494E2	1.3881317300411975E0	7.076812616200605E-1	1.3881317300411975E0	7.076812616200605E-1	644	5.098084326615441E-1	136	-4.832104476377081E3	-7.507120421358645E2
19	-4.096644622628372E3	91	384	91	384	-4.096644622628372E3	-6.632231130872517E2	640	125	8.645638314540013E-2	6.667845805524954E-3	5.6951679830886205E-2	6.71530414172974E-2	3.706556016563411E-2	5.168374505885866E-2	3.8190232220468E-2	4.522291233034202E-2	6.582265388832118E-2	1.1545875777476917E-1	2.268034009015961E-2	3.994667508431832E-2	6.737904024012842E-2	1.7362874159581116E-2	4.062070292771956E-2	5.799338803943305E-2	4.6291966795127024E-2	8.10029028251868E-2	9.057917189441695E-3	4.6991381011402676E-2	9.12163316983438E-1	-6.632231130872517E2	1.470077655893166E0	7.41218315233851E-1	1.470077655893166E0	7.41218315233851E-1	640	5.042035107890361E-1	125	-4.807153009440825E3	-7.105083868124533E2
20	-4.0781245159969535E3	95	381	95	381	-4.0781245159969535E3	-6.819287118805157E2	643	133	9.056183400530649E-2	6.984473824187007E-3	5.965607613372024E-2	7.034185757640408E-2	3.8825648088801054E-2	5.413798924390888E-2	4.000372610033412E-2	4.737035867911922E-2	5.4019621379082346E-2	1.1146029375154115E-1	2.225828779201633E-2	4.184357506565925E-2	6.33776590427584E-2	1.8187364197858765E-2	4.254960966308627E-2	6.074725069402688E-2	4.8490178054626396E-2	8.484939078778515E-2	9.48803966925691E-3	3.484676625052099E-2	7.546230293541233E-1	-6.819287118805157E2	1.2144671856679758E0	6.209219912917198E-1	1.2144671856679758E0	6.209219912917198E-1	643	5.112711142954456E-1	133	-4.801451965616374E3	-7.233274496194206E2
21	-4.0684533076681223E3	99	381	99	381	-4.0684533076681223E3	-7.120296298394187E2	645	140	8.253629088790017E-2	7.040389048625049E-3	6.013366155677078E-2	5.875029863906458E-2	3.913647248037079E-2	5.457139881711316E-2	4.0323981767341144E-2	4.774958899824233E-2	5.4452355531639074E-2	1.1235260539847797E-1	2.243647976306892E-2	4.492539718613403E-2	6.388503814087478E-2	2.051300977825251E-2	4.289024677247359E-2	6.123357167425416E-2	4.8878373251174445E-2	8.552866496773848E-2	9.563997555410961E-3	4.309817778507308E-2	6.387386119638024E-1	-7.120296298394187E2	6.630965262956784E-1	6.420105399965572E-1	6.630965262956784E-1	6.420105399965572E-1	645	9.682007287582761E-1	140	-4.837080638852625E3	-7.686273311845034E2
22	-4.0629744696118587E3	96	382	96	382	-4.0629744696118587E3	-6.927960204137129E2	644	135	8.330212547315274E-2	7.105715141778344E-3	6.069162748015587E-2	5.929542866741564E-2	3.9499610487274454E-2	5.507775382931644E-2	4.069813839008624E-2	4.8192646061905584E-2	5.495760596954931E-2	1.1339509846464024E-1	2.412780943602955E-2	4.5342249246618296E-2	5.3715903445871314E-2	2.0703345110344745E-2	4.3288215156986894E-2	6.1801743401650754E-2	4.9331904035074994E-2	8.632226507937586E-2	9.652739610843918E-3	4.349807551192879E-2	6.340105788259566E-1	-6.927960204137129E2	5.298057355558493E-1	6.918153391972557E-1	5.298057355558493E-1	6.918153391972557E-1	644	1.3057905809030792E0	135	-4.812651925695483E3	-7.496774560836249E2
23	-4.074455305342444E3	94	383	94	383	-4.074455305342444E3	-6.804197601387281E2	639	125	8.382340729833868E-2	7.150180755798617E-3	6.107141901808676E-2	5.966648317659373E-2	3.974678820251266E-2	5.542241528759509E-2	3.469509077894877E-2	4.8494222406530625E-2	5.530151557551596E-2	1.1410469385082084E-1	2.4278794641618397E-2	4.56259885907354E-2	5.40520428184351E-2	2.0832900958593217E-2	4.3559100919839944E-2	6.218848174016372E-2	4.9640609543238644E-2	8.686244610884147E-2	9.713143804540116E-3	4.377027452325223E-2	3.814703338923855E-1	-6.804197601387281E2	5.676552206347921E-1	6.533932971013315E-1	5.676552206347921E-1	6.533932971013315E-1	639	1.1510389992902048E0	125	-4.80944206563259E3	-7.349867602901463E2
24	-4.0654794092466177E3	96	379	96	379	-4.0654794092466177E3	-6.975183229850965E2	645	137	8.802577245766888E-2	7.508644715443418E-3	4.855339823587747E-2	6.26577759212165E-2	2.806328107083718E-2	5.8200937833470356E-2	3.643447892109773E-2	4.938090829199457E-2	5.807397698937346E-2	1.1982516746803007E-1	2.549597685838677E-2	4.706938844391857E-2	4.266730959915996E-2	2.1877328284776416E-2	4.8537691690203666E-2	7.172784339431812E-2	5.212926962943577E-2	9.121716907879676E-2	1.0200098205790903E-2	3.2353582910203384E-2	3.2280993213767184E-1	-6.975183229850965E2	9.346019563527853E-1	6.977622757014675E-1	9.346019563527853E-1	6.977622757014675E-1	645	7.465876472422902E-1	137	-4.815471348587318E3	-7.499919393407006E2
25	-4.077544794531289E3	94	385	94	385	-4.077544794531289E3	-6.773374637659219E2	641	129	8.700370513769115E-2	7.421461835171976E-3	4.798964468705608E-2	6.193025643091768E-2	2.7737438290103326E-2	5.752516669405489E-2	3.6011438154899635E-2	4.880754652319741E-2	5.739967999242837E-2	1.1843387734514216E-1	2.519994304907942E-2	4.652286573407241E-2	4.646410072505639E-2	2.1623310607180375E-2	4.797412051009765E-2	6.344773128619027E-2	5.152399663477758E-2	9.015804644989674E-2	1.0081664856720143E-2	4.674400505626629E-2	5.926006119750405E-1	-6.773374637659219E2	1.6283383073920823E0	7.093796202412497E-1	1.6283383073920823E0	7.093796202412497E-1	641	4.356463377548241E-1	129	-4.799741500684687E3	-7.221967061533975E2
26	-4.069261510254947E3	94	382	94	382	-4.069261510254947E3	-6.7976437922223E2	641	129	8.959834082409221E-2	9.123112142236918E-3	4.942079804409629E-2	6.377714850464405E-2	2.856462774281632E-2	5.924068961499662E-2	3.4946753396798584E-2	4.293865896338815E-2	5.911146063281213E-2	1.013212680009118E-1	2.5951458992302057E-2	4.7910276620496565E-2	3.890906241874823E-2	2.2268163757637984E-2	4.940481090313564E-2	6.533987769025207E-2	5.3060551890246666E-2	9.284675130867139E-2	1.8128177763712828E-2	4.8138010788003324E-2	6.27343353791988E-1	-6.7976437922223E2	9.340512524666018E-1	7.735143910892001E-1	9.340512524666018E-1	7.735143910892001E-1	641	8.2812842340989E-1	129	-4.797366141074486E3	-7.281046308195396E2
27	-4.0670774147785146E3	93	383	93	383	-4.0670774147785146E3	-6.744808134207594E2	640	127	8.843531309248073E-2	9.004689944655666E-3	4.877929332297093E-2	6.294929174221102E-2	2.8193845718255426E-2	6.923919524462473E-2	3.449312844173317E-2	5.899955581812867E-2	5.8344166647904594E-2	8.418447146857436E-2	2.5614597101711004E-2	4.72883791631741E-2	3.840400486759502E-2	6.881907080138318E-2	4.8763513702463394E-2	6.449173598321913E-2	5.2371801487779694E-2	5.9751701641293405E-2	1.7892865666760346E-2	3.3979378143081544E-2	4.760600912285307E-1	-6.744808134207594E2	9.27036228391404E-1	6.922635915212286E-1	9.27036228391404E-1	6.922635915212286E-1	640	7.467492319285585E-1	127	-4.790952208636187E3	-7.238747938576723E2
28	-4.057977142771273E3	98	381	98	381	-4.057977142771273E3	-6.98542919373442E2	644	135	8.79036177215202E-2	8.950551481262637E-3	4.848601992853597E-2	5.8431642408337085E-2	2.8024337218383932E-2	6.882291176788617E-2	3.428574706792339E-2	4.240756869400924E-2	5.799338682653617E-2	1.07712432475779E-1	2.5460595693995548E-2	4.700406952009076E-2	3.817311031992612E-2	6.840531321858775E-2	4.847033517908035E-2	5.2492215144456546E-2	6.602331115031926E-2	5.939245936511728E-2	1.7785289252819383E-2	3.377508556543328E-2	5.037245889949854E-1	-6.98542919373442E2	8.552240504121266E-1	7.16184310359183E-1	8.552240504121266E-1	7.16184310359183E-1	644	8.374230238427681E-1	135	-4.80726430943765E3	-7.492871666663765E2
29	-4.078687720848085E3	96	382	96	382	-4.078687720848085E3	-6.947681289152973E2	644	135	9.097673318608054E-2	1.6101924395172898E-2	5.018109393708712E-2	6.047441594325111E-2	2.9004069638074618E-2	4.139505567875345E-2	3.5484378731323575E-2	4.389013970241565E-2	5.764097605280137E-2	1.1147806522840792E-1	2.272381434292056E-2	4.268947365741707E-2	3.950764442324567E-2	7.079676685108907E-2	5.016486084790034E-2	5.432734596512999E-2	6.833148985532213E-2	6.1468823115372016E-2	1.8407063974511383E-2	3.495586447372355E-2	4.301237080688594E-1	-6.947681289152973E2	9.982621141937914E-1	7.199133060908761E-1	9.982621141937914E-1	7.199133060908761E-1	644	7.211666113085808E-1	135	-4.821275464533246E3	-7.425877436851615E2
30	-4.070836985307652E3	91	385	91	385	-4.070836985307652E3	-6.614472365170031E2	638	123	9.035056732532425E-2	1.2816143906112031E-2	6.361773879165439E-2	6.005818848171555E-2	2.880444323257142E-2	4.1110145792869486E-2	3.5240150281108114E-2	4.3588056893514755E-2	5.724425031732004E-2	1.1071079478216735E-1	1.8843045646757626E-2	4.239565467665353E-2	3.923572502901839E-2	7.030949371100606E-2	4.981959099513152E-2	5.395342696235285E-2	6.78611844853271E-2	6.1045751444321915E-2	1.82803736147463E-2	3.471527363032736E-2	5.015298029471967E-1	-6.614472365170031E2	8.143755416782804E-1	6.7674886452931E-1	8.143755416782804E-1	6.7674886452931E-1	638	8.310034251945402E-1	123	-4.783226365544913E3	-7.123893802372609E2
31	-4.0520262357146967E3	94	382	94	382	-4.0520262357146967E3	-6.837276397871044E2	640	127	9.035056732532425E-2	1.2816143906112031E-2	6.361773879165439E-2	6.005818848171555E-2	2.880444323257142E-2	4.1110145792869486E-2	3.5240150281108114E-2	4.3588056893514755E-2	5.724425031732004E-2	1.1071079478216735E-1	1.8843045646757626E-2	4.239565467665353E-2	3.923572502901839E-2	7.030949371100606E-2	4.981959099513152E-2	5.395342696235285E-2	6.78611844853271E-2	6.1045751444321915E-2	1.82803736147463E-2	3.471527363032736E-2	4.932307507161876E-1	-6.837276397871044E2	5.918604359928622E-1	6.904005279735248E-1	5.918604359928622E-1	6.904005279735248E-1	640	1.1664921085920517E0	127	-4.78985350457159E3	-7.378272688568934E2
32	-4.0486429257540694E3	100	379	100	379	-4.0486429257540694E3	-7.086542267887315E2	644	135	9.401034883856496E-2	1.333528050842836E-2	6.619466809311118E-2	5.816725259513442E-2	2.9971209219354648E-2	4.277537221073619E-2	3.6667603968900016E-2	4.5353654714750107E-2	5.956301217186715E-2	1.1519529700561268E-1	1.960631069481035E-2	4.411295250687828E-2	4.0825025299848564E-2	3.697470413459175E-2	5.1837606194357524E-2	5.613888921697067E-2	7.061000074402043E-2	6.351849864682008E-2	1.9020846811439004E-2	3.612146642380364E-2	4.873308542086748E-1	-7.086542267887315E2	1.502769840311687E0	7.371645385532867E-1	1.502769840311687E0	7.371645385532867E-1	644	4.9053721919278914E-1	135	-4.8005178316625E3	-7.518749059084306E2
33	-4.0710006584394564E3	91	386	91	386	-4.0710006584394564E3	-6.613067161274587E2	638	123	8.173935005889539E-2	1.2759204649199583E-2	6.33350994268202E-2	6.065983727208388E-2	2.8676471542689153E-2	4.6755996189206735E-2	3.5083586186229906E-2	4.3394404919258237E-2	7.621912637730598E-2	1.1021893151711169E-1	1.8759330215271087E-2	4.687985563255753E-2	4.3737649788451564E-2	3.537741981495541E-2	4.765778874820364E-2	5.371372397043721E-2	6.75596924416906E-2	6.077453884321776E-2	1.8199158009074987E-2	4.849883439733954E-2	8.732892600714145E-1	-6.613067161274587E2	6.5259535676935E-1	7.145200638155238E-1	6.5259535676935E-1	7.145200638155238E-1	638	1.0948898983172817E0	123	-4.786168479333306E3	-7.151678208938498E2
34	-4.059269548044806E3	93	384	93	384	-4.059269548044806E3	-6.744622690382283E2	638	123	8.153270793641808E-2	1.2726948592258425E-2	6.317498438598075E-2	6.0506485459107626E-2	2.8603975652515427E-2	4.6637794144731E-2	3.499489271474506E-2	4.328470118501403E-2	7.602643972104281E-2	8.679286658658891E-2	1.8711905470528888E-2	4.676134046376353E-2	4.362707830999054E-2	5.8144982065993694E-2	4.753730691647377E-2	5.357793236065056E-2	7.020738521206621E-2	6.0620897057589496E-2	1.8153149414247827E-2	4.837622635029341E-2	7.641743223272044E-1	-6.744622690382283E2	1.2428038442045795E0	6.552166693203928E-1	1.2428038442045795E0	6.552166693203928E-1	638	5.272084346824218E-1	123	-4.77441082649183E3	-7.151412784470248E2
